,Latitude,Longitude,CategoryID,Precision code
2,32.1046706,34.9644714,3,1
3,46,105,5,3
4,27.82,30.78,2,3
6,30.3383,42.4989,3,4
9,33.5,22,1,4
12,33,36,3,3
13,34.75,19.25,7,5
15,28.75,42.75,3,4
16,30.3383,42.4989,3,4
17,41.9,12.5,1,4
18,33,33,1,4
19,25,29,2,3
21,36.772309,31.3940885,3,2
22,34,100.5,6,4
23,38.366667,117.35,6,2
24,37.6675,32.828333,3,2
25,37.952859,58.212177,5,1
26,31.25,34.75,3,3
27,30.3383,42.4989,3,4
28,41.75,12.25,1,4
29,42.25,12.5,1,4
30,42,12.5,1,4
31,25.727772,32.610244,2,1
32,31.5,35.25,3,3
33,30.3383,42.4989,3,4
34,37.5,37.5,3,3
35,25.5,29.5,2,3
36,27.8,30.84,2,3
37,31.25,35,3,3
38,37.92,22.65,1,3
39,33,23,3,3
40,29.5,42.25,3,4
41,37,38.85,3,3
42,32.1887935,48.2537285,3,2
43,39.5,40.5,4,3
44,35.5,35.75,3,2
45,31.9475216667,35.9313120667,3,2
46,31.25,35.25,3,3
47,41.75,12.5,1,4
48,41.9,12.5,1,4
49,36.5136883333,29.1296185,3,3
50,35.610222,35.780703,3,2
51,35.3322698,24.67524836,1,2
52,35.6,108.4,6,3
53,30.9437675,35.707167,3,1
54,34.75,18.75,7,5
55,31,35,3,3
56,38.849078,35.632229,3,2
57,33.25,35.5,3,3
58,30.3383,42.4989,3,4
59,35.604091,35.787090,3,2
60,30.25,34.5,3,3
61,33.31468,44.39044,1,2
62,33.745685,72.815207,6,2
63,41.9,12,1,4
64,41.9,12.25,1,4
65,21,78.5,6,4
66,35,102,6,4
67,33,103,6,4
68,42,12.25,1,4
69,15.35,77.5,6,3
70,29,42.5,3,4
71,29,42.75,3,4
72,35,19,7,5
73,32.542956,44.4260235,3,3
74,34,116,6,4
75,20.5,78.5,6,4
76,37.5,22.5,1,3
77,32,48,3,4
78,30.75,34.75,3,3
79,41.5,12.25,1,4
80,35,38,3,3
81,28.75,42,3,4
82,32.25,44.5,3,3
83,38.5,57.5,3,3
84,30.3383,42.4989,3,4
85,35.602208,35.785680,3,2
86,35,102.5,6,4
87,40.5,36.5,3,3
88,26.82,30.82,2,3
89,32.204421,45.316682,3,1
90,32,43,3,3
91,41.5,12.5,1,4
92,32,45.5,3,3
93,36.5097353,43.2280283,3,2
94,37.35,66.5,5,3
95,52.5,-2.5,1,3
96,35,19,7,5
97,36.5801979293,17.1153617347,3,4
98,30.3383,42.4989,2,4
99,13.43333,103.75,6,2
100,35,38,3,3
101,35.8897,23.3078,1,1
102,31.25,35,3,3
103,40.0718920039,8.90091179614,1,3
104,30.3383,42.4989,3,4
105,36.830556,49.459167,3,1
106,26.833145,31.416623,2,2
107,35,19,7,5
108,34,44,3,3
109,32.5,44.5,3,3
110,26,30,2,3
111,35,19,3,5
112,32,54.5,3,3
113,37.5,38.75,3,4
114,35,19.25,7,5
115,29.25,30.75,2,3
116,30.3383,42.4989,3,4
117,35,103,6,4
118,35,102,6,4
119,30.3383,42.4989,3,4
120,31.25,34.5,3,3
121,31.5,53,3,3
122,42.78,89.34,5,3
123,39.491111,26.3383585,3,2
124,33,36,3,3
125,39.5,40.5,3,3
126,37.5,38.5,3,4
127,23,29,2,3
128,26,30,2,3
