,Latitude,Longitude,CategoryID,Predicted
0,31.420485,46.40836,3,0
1,66.0,-172.0,5,0
2,64.0,-175.0,5,0
3,62.8698,17.8258,1,0
4,61.0,91.0,4,1
5,61.0,90.0,4,1
6,61.0,90.0,4,0
7,61.0,31.5,4,0
8,61.0,31.5,4,0
9,61.0,134.0,5,0
10,60.954057,89.623179,4,1
11,60.954057,89.623179,5,0
12,60.954057,89.623179,5,0
13,60.75,89.623179,5,0
14,60.5,90.5,4,1
15,60.5,12.5,7,0
16,60.1,90.1,4,1
17,60.0,90.0,4,1
18,60.0,90.0,4,1
19,60.0,90.0,4,1
20,60.0,90.0,4,1
21,60.0,90.0,5,0
22,60.0,88.0,7,0
23,60.0,86.0,4,0
24,60.0,60.0,4,1
25,60.0,60.0,4,1
26,60.0,105.0,5,1
27,60.0,92.0,4,0
28,60.0,92.0,4,0
29,60.0,92.0,4,1
30,60.0,92.0,4,0
31,60.0,91.5,4,0
32,60.0,91.0,4,0
33,60.0,91.0,5,0
34,60.0,91.0,4,0
35,60.0,91.0,4,0
36,60.0,91.0,4,0
37,60.0,91.0,4,1
38,60.0,91.0,4,0
39,60.0,90.5,5,0
40,60.0,90.0,4,0
41,60.0,90.0,4,0
42,60.0,90.0,4,0
43,60.0,90.0,7,0
44,60.0,90.0,4,1
45,60.0,90.0,4,1
46,60.0,90.0,4,1
47,60.0,90.0,4,1
48,60.0,90.0,4,1
49,60.0,90.0,4,0
50,60.0,90.0,4,0
51,60.0,90.0,5,0
52,60.0,89.5,4,0
53,60.0,89.0,4,0
54,60.0,61.0,4,1
55,60.0,60.0,4,0
56,60.0,60.0,4,0
57,60.0,60.0,4,0
58,60.0,60.0,5,0
59,60.0,49.0,4,1
60,60.0,48.0,4,0
61,60.0,47.5,4,1
62,60.0,47.0,4,0
63,60.0,47.0,4,1
64,60.0,47.0,4,1
65,60.0,47.0,4,1
66,60.0,47.0,4,1
67,60.0,105.3,5,1
68,60.0,105.0,5,1
69,60.0,105.0,5,0
70,60.0,105.0,5,1
71,60.0,105.0,4,0
72,60.0,105.0,5,1
73,60.0,105.0,5,1
74,60.0,105.0,5,0
