Month,DATE_ADDED,Geographic identifier,"Pleiades, TGN, or FAST ID",TAG651_A,icons,Precision code,Precision,Region,Location,"Controlled heading (Pleiades, TGN, LCSH, or FAST)",Coordinates,Title and author,Imprint,Series,Library location,BSN,BSN length adjustment,View in library catalog
2016-10,20161015,http://pleiades.stoa.org/places/286681704,"<a href=""http://pleiades.stoa.org/places/286681704""target=""new"">http://pleiades.stoa.org/places/286681704</a>",,,2,City,Syria,Mari,,"34.2999999999, 40.5","Mari, annales de recherches interdisciplinaires.","Paris : Editions Recherche sur les civilisations, 1982-1997.",,Large Collection DS99.M3 M33 t.1 (1982),2808662,,"<a href=""http://bobcat.library.nyu.edu/primo_library/libweb/action/display.do?ct=display&fn=search&doc=nyu_aleph002808662&vid=NYU&institution=NYU&tab=all&dym=true""target=""new"">View in Library Catalog</a>"
2016-10,20161015,http://pleiades.stoa.org/places/668295,"<a href=""http://pleiades.stoa.org/places/668295""target=""new"">http://pleiades.stoa.org/places/668295</a>",,,2,City,Syria,Ugarit,,"35.610222, 35.780703","A dictionary of the Ugaritic language in the alphabetic tradition / By Gregorio del Olmo Lete, Joaquin Sanmartin ; Translated and Edited by Wilfred G.E. Watson.",,"Handbook of oriental studies. Section 1, The Near and Middle East ;vol. 112 =Handbuch der Orientalistik",Reference 4 Collection PJ4150.Z5 O4613 2015b pt.1-pt.2,4198961,,"<a href=""http://bobcat.library.nyu.edu/primo_library/libweb/action/display.do?ct=display&fn=search&doc=nyu_aleph004198961&vid=NYU&institution=NYU&tab=all&dym=true""target=""new"">View in Library Catalog</a>"
2016-10,20161015,https://pleiades.stoa.org/places/1001896,"<a href=""https://pleiades.stoa.org/places/1001896""target=""new"">https://pleiades.stoa.org/places/1001896</a>",,,3,Region,Greece,(General),,"37.53,22.5",Early Greek philosophy / edited and translated by André Laks and Glenn W. Most ; in collaboration with Gérard Journée ; and assisted by Leopoldo Iribarren and David Lévystone.,,Loeb classical library ;524-532,Reference 3 Collection PA3612.A22 A225 2016 v.1-v.8,4491432,,"<a href=""http://bobcat.library.nyu.edu/primo_library/libweb/action/display.do?ct=display&fn=search&doc=nyu_aleph004491432&vid=NYU&institution=NYU&tab=all&dym=true""target=""new"">View in Library Catalog</a>"
2016-10,20161015,https://pleiades.stoa.org/places/1001896,"<a href=""https://pleiades.stoa.org/places/1001896""target=""new"">https://pleiades.stoa.org/places/1001896</a>",,,3,Region,Greece,(General),,"37.5,22.53",The Greek anthology / translated by W.R. Paton.,,Loeb classical library ;LCL 67,Reference 3 Collection PA3612.A2 A25 2014 v.1,4113864,,"<a href=""http://bobcat.library.nyu.edu/primo_library/libweb/action/display.do?ct=display&fn=search&doc=nyu_aleph004113864&vid=NYU&institution=NYU&tab=all&dym=true""target=""new"">View in Library Catalog</a>"
2016-10,20161015,https://pleiades.stoa.org/places/1001896,"<a href=""https://pleiades.stoa.org/places/1001896""target=""new"">https://pleiades.stoa.org/places/1001896</a>",,,3,Region,Greece,(General),,"37.48,22.48","Theocritus, Moschus, Bion / edited and translated by Neil Hopkinson.",,Loeb classical library ;LCL 28,Reference 3 Collection PA3612.T35 T35 2015 ,4208523,,"<a href=""http://bobcat.library.nyu.edu/primo_library/libweb/action/display.do?ct=display&fn=search&doc=nyu_aleph004208523&vid=NYU&institution=NYU&tab=all&dym=true""target=""new"">View in Library Catalog</a>"
2016-10,20161015,https://pleiades.stoa.org/places/1224,"<a href=""https://pleiades.stoa.org/places/1224""target=""new"">https://pleiades.stoa.org/places/1224</a>",,,3,Region,Black Sea Region,(General),Pontus Euxinus,"43.0786852,34.7425505","Kulʹtura i iskusstvo Prichernomorʹi͡a v antichnui͡u ėpokhu : vystavka iz sobraniĭ muzeev Bolgarii, Rumynii i Sovetskogo Soi͡uza : katalog vystavki / [otvetstvennyĭ za vypusk A.K. Korovina]. // Kультурa и искусство Причерноморья в aнтичную эпоху : выставка из собраний музеев Бoлгарии, Румынии и Сoветского Сoюзa : кaтaлог выставки / [oтветственный за выпуск A.K. Koрoвинa].","Moskva : Sov. khudozhnik, 1983.",,Large Collection N5604.S65 M65 1983 ,4499731,,"<a href=""http://bobcat.library.nyu.edu/primo_library/libweb/action/display.do?ct=display&fn=search&doc=nyu_aleph004499731&vid=NYU&institution=NYU&tab=all&dym=true""target=""new"">View in Library Catalog</a>"
2016-10,20161015,https://pleiades.stoa.org/places/167717,"<a href=""https://pleiades.stoa.org/places/167717""target=""new"">https://pleiades.stoa.org/places/167717</a>",,,2,City,France,Lyon,Col. Lugdunum,"45.762095775,4.822438025",New approaches to Sidonius Apollinaris / edited by Johannes A. van Waarden and Gavin Kelly.,,Late antique history and religion ;7,Small Collection PA6694.S8 N48 2013 ,3999316,,"<a href=""http://bobcat.library.nyu.edu/primo_library/libweb/action/display.do?ct=display&fn=search&doc=nyu_aleph003999316&vid=NYU&institution=NYU&tab=all&dym=true""target=""new"">View in Library Catalog</a>"
2016-10,20161015,https://pleiades.stoa.org/places/195443086,"<a href=""https://pleiades.stoa.org/places/195443086""target=""new"">https://pleiades.stoa.org/places/195443086</a>",,,1,Site,Egypt,Abusir (Djedkare cemetery),Abu Sir,"29.894088,31.204414","Abusir VI : Djedkare's family cemetery / Miroslav Verner, Vivienne G. Callender ; with a contribution by Eugen Strouhal.","Prague : Czech Institute of Egyptology, Faculty of Arts, Charles University, 2002.",Excavations of the Czech Institute of Egyptology.,Large Collection DT73.A14 A28 v.6 2002 ,4487015,,"<a href=""http://bobcat.library.nyu.edu/primo_library/libweb/action/display.do?ct=display&fn=search&doc=nyu_aleph004487015&vid=NYU&institution=NYU&tab=all&dym=true""target=""new"">View in Library Catalog</a>"
2016-10,20161015,https://pleiades.stoa.org/places/195443086,"<a href=""https://pleiades.stoa.org/places/195443086""target=""new"">https://pleiades.stoa.org/places/195443086</a>",,,1,Site,Egypt,Abusir (Royal Necropolis),Abu Sir,"29.893249,31.203193","Abusir XII : minor tombs in the royal necropolis I : (the Mastabas of Nebtyemneferes and Nakhtsare, Pyramid Complex Lepsius no. 24 and Tomb Complex Lepsius no. 25) / Jaromir Krejčí, Vivienne G. Callender, Miroslav Verner ; with contributions by Victor Černý [and others].","Prague : Czech Institute of Egyptology, 2008.",Excavations of the Czech Institute of Egyptology,Large Collection DT73.A14 A28 v.12 2008 ,3360167,,"<a href=""http://bobcat.library.nyu.edu/primo_library/libweb/action/display.do?ct=display&fn=search&doc=nyu_aleph003360167&vid=NYU&institution=NYU&tab=all&dym=true""target=""new"">View in Library Catalog</a>"
2016-10,20161015,https://pleiades.stoa.org/places/195443086,"<a href=""https://pleiades.stoa.org/places/195443086""target=""new"">https://pleiades.stoa.org/places/195443086</a>",,,1,Site,Egypt,Abusir (Pyramid causeway),Abu Sir,"29.897597,31.205248",Abusir XVI : Sahure--the pyramid causeway : history and decoration program in the Old Kingdom / Tarek El Awady.,"Prague : Charles University in Prague, 2009.",,Large Collection DT73.A14 A28 v.16 2009 text & plates,4487018,,"<a href=""http://bobcat.library.nyu.edu/primo_library/libweb/action/display.do?ct=display&fn=search&doc=nyu_aleph004487018&vid=NYU&institution=NYU&tab=all&dym=true""target=""new"">View in Library Catalog</a>"
2016-10,20161015,https://pleiades.stoa.org/places/195443086,"<a href=""https://pleiades.stoa.org/places/195443086""target=""new"">https://pleiades.stoa.org/places/195443086</a>",,,1,Site,Egypt,Abusir South (Tomb 38),Abu Sir,"29.884333,31.208828","Abusir XXII : the tomb of Kaiemtjenenet (as 38) and the surrounding structures (as 57-60) / Hana Vymazalová; with contributions by Katarína Arias Kytnarová, Jaromír Beneš, Aleš Bezděk, Helena Březinová, Adéla Pokorná, Zdeňka Sůvová, Hana Šuláková, Ladislav Varadzin, Pavla Zedníková Malá",,Excavations of the Czech Institute of Egyptology,Large Collection DT73.A14 A28 v.22 2011 ,4487017,,"<a href=""http://bobcat.library.nyu.edu/primo_library/libweb/action/display.do?ct=display&fn=search&doc=nyu_aleph004487017&vid=NYU&institution=NYU&tab=all&dym=true""target=""new"">View in Library Catalog</a>"
2016-10,20161015,https://pleiades.stoa.org/places/226546,"<a href=""https://pleiades.stoa.org/places/226546""target=""new"">https://pleiades.stoa.org/places/226546</a>",,,2,City,Ukraine,Olbia,Borysthenes/Olbia,"46.691895,31.901597",Arkhaicheskiĭ nekropolʹ Olʹvii : publikat͡sii͡a odnoĭ kollekt͡sii / V.M. Skudnova. // Архаический некрополь Ольвии : публикация одной коллекции / В.М. Скуднова.,"Leningrad : ""Iskusstvo"", Leningradskoe otd-nie, 1988.",,Small Collection DK508.95.O43 S58 1988 ,4499688,,"<a href=""http://bobcat.library.nyu.edu/primo_library/libweb/action/display.do?ct=display&fn=search&doc=nyu_aleph004499688&vid=NYU&institution=NYU&tab=all&dym=true""target=""new"">View in Library Catalog</a>"
2016-10,20161015,https://pleiades.stoa.org/places/305090,"<a href=""https://pleiades.stoa.org/places/305090""target=""new"">https://pleiades.stoa.org/places/305090</a>",,,2,City,Algeria,Hippo Regius,Hippo Regius,"36.882478,7.751272",Confessions / Augustine ; edited and translated by Carolyn J.-B. Hammond.,,Loeb classical library ;26-27,Reference 3 Collection PA6156.A8 A848 2014 v.2,4319355,,"<a href=""http://bobcat.library.nyu.edu/primo_library/libweb/action/display.do?ct=display&fn=search&doc=nyu_aleph004319355&vid=NYU&institution=NYU&tab=all&dym=true""target=""new"">View in Library Catalog</a>"
2016-10,20161015,https://pleiades.stoa.org/places/413013,"<a href=""https://pleiades.stoa.org/places/413013""target=""new"">https://pleiades.stoa.org/places/413013</a>",,,2,City,Italy,Amiternum,Amiternum ,"42.398788,13.3102685",Sallust / Sallust ; translated by J.C. Rolfe ; revised by John T. Ramsey.,,"Loeb classical library ;116, 522",Reference 3 Collection PA6156.S3 S3 2013 v.2,4210066,,"<a href=""http://bobcat.library.nyu.edu/primo_library/libweb/action/display.do?ct=display&fn=search&doc=nyu_aleph004210066&vid=NYU&institution=NYU&tab=all&dym=true""target=""new"">View in Library Catalog</a>"
2016-10,20161015,https://pleiades.stoa.org/places/423025,"<a href=""https://pleiades.stoa.org/places/423025""target=""new"">https://pleiades.stoa.org/places/423025</a>",,,4,Broad region,Roman Republic,(General),,"42,12.45",Civil war / Caesar; edited and translated by Cynthia Damon.,,Loeb classical library ;39,Reference 3 Collection PA6156.C3 C42 2016 ,4318559,,"<a href=""http://bobcat.library.nyu.edu/primo_library/libweb/action/display.do?ct=display&fn=search&doc=nyu_aleph004318559&vid=NYU&institution=NYU&tab=all&dym=true""target=""new"">View in Library Catalog</a>"
2016-10,20161015,https://pleiades.stoa.org/places/423025,"<a href=""https://pleiades.stoa.org/places/423025""target=""new"">https://pleiades.stoa.org/places/423025</a>",,,2,City,Italy,Rome,,"41.8917375,12.4861685",On the constitution of the art of medicine ;The art of medicine ; A method of medicine to Glaucon / Galen ; edited and translated by Ian Johnston.,,Loeb classical library ;523,Reference 3 Collection PA3612.G3 G35 2016 ,4263410,,"<a href=""http://bobcat.library.nyu.edu/primo_library/libweb/action/display.do?ct=display&fn=search&doc=nyu_aleph004263410&vid=NYU&institution=NYU&tab=all&dym=true""target=""new"">View in Library Catalog</a>"
2016-10,20161015,https://pleiades.stoa.org/places/423025,"<a href=""https://pleiades.stoa.org/places/423025""target=""new"">https://pleiades.stoa.org/places/423025</a>",,,4,Broad region,Roman Empire,(General),,"41.9,12.5",Wearing the cloak : dressing the soldier in Roman times / edited by Marie-Louise Nosch.,"Oxford, UK : Oxbow Books ; Oakville, CT : David Brown Book Co., ©2012.",Ancient textiles series ;v. 10,Small Collection UC465.R65 W43 2012 ,4499358,,"<a href=""http://bobcat.library.nyu.edu/primo_library/libweb/action/display.do?ct=display&fn=search&doc=nyu_aleph004499358&vid=NYU&institution=NYU&tab=all&dym=true""target=""new"">View in Library Catalog</a>"
2016-10,20161015,https://pleiades.stoa.org/places/433014,"<a href=""https://pleiades.stoa.org/places/433014""target=""new"">https://pleiades.stoa.org/places/433014</a>",,,2,City,Italy,Naples,Parthenope/Neapolis ,"40.839995,14.25287",Silvae / Statius ; edited and translated by D.R. Shackleton Bailey ; with corrections by Christopher A. Parrott.,,Loeb classical library ;206 // Statius ;I,Reference 3 Collection PA6156.S7 S73 2015 ,4494121,,"<a href=""http://bobcat.library.nyu.edu/primo_library/libweb/action/display.do?ct=display&fn=search&doc=nyu_aleph004494121&vid=NYU&institution=NYU&tab=all&dym=true""target=""new"">View in Library Catalog</a>"
2016-10,20161015,https://pleiades.stoa.org/places/442241741,"<a href=""https://pleiades.stoa.org/places/442241741""target=""new"">https://pleiades.stoa.org/places/442241741</a>",,,3,Region,Uzbekistan,Aral Sea Region,Aral Sea,"45.2, 60.2","Ancient irrigation systems of the Aral Sea area : the history, origin, and development of irrigated agriculture / Boris V. Andrianov ; edited by Simone Mantellini, with the collaboration of C.C. Lamberg-Karlovsky, Maurizio Tosi.",,American School of Prehistoric Research monograph series,Large Collection S616.U9 A6513 2016 ,4499394,,"<a href=""http://bobcat.library.nyu.edu/primo_library/libweb/action/display.do?ct=display&fn=search&doc=nyu_aleph004499394&vid=NYU&institution=NYU&tab=all&dym=true""target=""new"">View in Library Catalog</a>"
2016-10,20161015,https://pleiades.stoa.org/places/442241741,"<a href=""https://pleiades.stoa.org/places/442241741""target=""new"">https://pleiades.stoa.org/places/442241741</a>",,,3,Region,Uzbekistan,Aral Sea Region,Aral Sea,"45, 60",Ėtnokulʹturnai͡a istorii͡a Vostochnogo Priaralʹi͡a : I tysi͡acheletie do n.ė.-I tysi͡acheletie n.ė. / L.M. Levina. // Этнокультурная история Вoсточного Приаралья : I тысячелетие дo н.э.-I тысячелетие н.э. / Л.M. Лeвинa.,"Moskva : Vostochnai͡a lit-ra, 1996.",,Small Collection DK949.A74 L48 1996 ,4498798,,"<a href=""http://bobcat.library.nyu.edu/primo_library/libweb/action/display.do?ct=display&fn=search&doc=nyu_aleph004498798&vid=NYU&institution=NYU&tab=all&dym=true""target=""new"">View in Library Catalog</a>"
2016-10,20161015,https://pleiades.stoa.org/places/442241741,"<a href=""https://pleiades.stoa.org/places/442241741""target=""new"">https://pleiades.stoa.org/places/442241741</a>",,,3,Region,Uzbekistan,Aral Sea Region (Southern),Aral Sea,"44.85,60.45",Saki I͡Uzhnogo Priaralʹi͡a : arkheologii͡a i antropologii͡a mogilʹnikov / L.T. I͡Ablonskiĭ. // Сaки Южного Приаралья : aрхеология и антропология могильников / Л. T. Яблонский.,"Moskva : Rossiĭskai͡a akademii͡a nauk, In-t arkheologii, 1996.",,Large Collection DS328.4.S35 I14 1996 ,4497917,,"<a href=""http://bobcat.library.nyu.edu/primo_library/libweb/action/display.do?ct=display&fn=search&doc=nyu_aleph004497917&vid=NYU&institution=NYU&tab=all&dym=true""target=""new"">View in Library Catalog</a>"
2016-10,20161015,https://pleiades.stoa.org/places/520998,"<a href=""https://pleiades.stoa.org/places/520998""target=""new"">https://pleiades.stoa.org/places/520998</a>",,,3,Region,Turkey,Constantinople,Constantinopolis,"41.00746276,28.96060984","Exegesis and empire in the early Byzantine Mediterranean : Junillus Africanus and the Instituta regularia divinae legis / Michael Maas ; with a contribution by Edward G. Mathews, Jr. ; with the Latin text established by Heinrich Kihn translated by Michael Maas.","Tübingen [Germany] : Mohr Siebeck, c2003.","Studien und Texte zu Antike und Christentum,1436-3003 ;17 =Studies and texts in antiquity and Christianity ;17",Small Collection BT95 .J8613 2003 ,997795,,"<a href=""http://bobcat.library.nyu.edu/primo_library/libweb/action/display.do?ct=display&fn=search&doc=nyu_aleph000997795&vid=NYU&institution=NYU&tab=all&dym=true""target=""new"">View in Library Catalog</a>"
2016-10,20161015,https://pleiades.stoa.org/places/550893,"<a href=""https://pleiades.stoa.org/places/550893""target=""new"">https://pleiades.stoa.org/places/550893</a>",,,1,Site,Turkey,Smyrna (Basilica in the Agora),Smyrna/Eurydikeia,"38.419397,27.139298","Graffiti from the Basilica in the Agora of Smyrna / edited by Roger S. Bagnall, Roberta Casagrande-Kim, Akın Ersoy, and Cumhur Tanrıver, with a contribution by Burak Yolaçan.",,,Large Collection DS51.I9 G73 2016 ,4494355,,"<a href=""http://bobcat.library.nyu.edu/primo_library/libweb/action/display.do?ct=display&fn=search&doc=nyu_aleph004494355&vid=NYU&institution=NYU&tab=all&dym=true""target=""new"">View in Library Catalog</a>"
2016-10,20161015,https://pleiades.stoa.org/places/20924741,"<a href=""https://pleiades.stoa.org/places/20924741""target=""new"">https://pleiades.stoa.org/places/20924741</a>",,,1,Site,Uzbekistan,"Tagisken, Southern",Tagisken South,"44.256737, 63.660894","Saki Nizhneĭ Syrdarʹi : po materialam mogilʹnika I͡Uzhnyĭ Tagisken / M.A. Itina, L.T. I͡Ablonskiĭ. // Сaки Нижней Сырдарьи : пo мaтeриалам мoгильника Южный Taгискен / M.A. Итина, Л.Т. Яблонский.","Moskva : ROSSPĖN, 1997.",,Large Collection DS328.4.S35 I86 1997 ,4499156,,"<a href=""http://bobcat.library.nyu.edu/primo_library/libweb/action/display.do?ct=display&fn=search&doc=nyu_aleph004499156&vid=NYU&institution=NYU&tab=all&dym=true""target=""new"">View in Library Catalog</a>"
2016-10,20161015,https://pleiades.stoa.org/places/707498,"<a href=""https://pleiades.stoa.org/places/707498""target=""new"">https://pleiades.stoa.org/places/707498</a>",,,3,Region,Cyprus,(General),,"35.0413672607,33.2756110602",Cypro-Minoan inscriptions / Silvia Ferrara.,"Oxford ; New York : Oxford University Press, 2012-2013.",Oxford studies in ancient culture and representation,Large Collection P1039 .F47 2012 v.2,3591930,,"<a href=""http://bobcat.library.nyu.edu/primo_library/libweb/action/display.do?ct=display&fn=search&doc=nyu_aleph003591930&vid=NYU&institution=NYU&tab=all&dym=true""target=""new"">View in Library Catalog</a>"
2016-10,20161015,https://pleiades.stoa.org/places/736893,"<a href=""https://pleiades.stoa.org/places/736893""target=""new"">https://pleiades.stoa.org/places/736893</a>",,,3,Region,Egypt,Fayyum,Arsinoites/Krokodeilopolites Nomos,"29.25,30.75","Papyrus de la Sorbonne : (P.Sorb. IV no 145-160) / Marie-Pierre Chaufray & Stéphanie Wackenier, dir.",,Papyrologica parisina ;IV,Large Collection PJ1661.B53 P37 2016 ,4489208,,"<a href=""http://bobcat.library.nyu.edu/primo_library/libweb/action/display.do?ct=display&fn=search&doc=nyu_aleph004489208&vid=NYU&institution=NYU&tab=all&dym=true""target=""new"">View in Library Catalog</a>"
2016-10,20161015,https://pleiades.stoa.org/places/736983,"<a href=""https://pleiades.stoa.org/places/736983""target=""new"">https://pleiades.stoa.org/places/736983</a>",,,2,City,Egypt,Oxyrhynchus,Oxyrhynchus/Pemje,"28.542574,30.65172",The Oxyrhynchus papyri.,"London : Sold at the Offices of the Egypt Exploration Fund, 1898-","Egypt Exploration Fund. Graeco-Roman Branch memoirs ;no. 1-2, 5-6, 8-16 // Graeco-Roman memoirs,0306-9222 ;no. 17-20, 26-27, 29-31, 34-36, 38-41, 44-46, 48-63, 65-67, 69, 71, 73-77, 79, 81-87, 89-92, 94-",Large Collection PA3315.O83 O86 1898 v.16 & v.58,2304129,,"<a href=""http://bobcat.library.nyu.edu/primo_library/libweb/action/display.do?ct=display&fn=search&doc=nyu_aleph002304129&vid=NYU&institution=NYU&tab=all&dym=true""target=""new"">View in Library Catalog</a>"
2016-10,20161015,https://pleiades.stoa.org/places/756532,"<a href=""https://pleiades.stoa.org/places/756532""target=""new"">https://pleiades.stoa.org/places/756532</a>",,,2,City,Egypt,Aphrodito,Aphroditopolis/Aphrodito ,"26.833145,31.416623",A prosopography of Byzantine Aphrodito / by Giovanni Roberto Ruffini.,"Durham, N.C. : American Society of Papyrologists, c2011.",American studies in papyrology ;v. 50,Large Collection DT73.A75 R85 2011 ,3797559,,"<a href=""http://bobcat.library.nyu.edu/primo_library/libweb/action/display.do?ct=display&fn=search&doc=nyu_aleph003797559&vid=NYU&institution=NYU&tab=all&dym=true""target=""new"">View in Library Catalog</a>"
2016-10,20161015,https://pleiades.stoa.org/places/756574,"<a href=""https://pleiades.stoa.org/places/756574""target=""new"">https://pleiades.stoa.org/places/756574</a>",,,2,City,Egypt,Hermopolis Magna,Hermopolis Magna/Schmun,"27.7796202493,30.8035806072",Un codex fiscal hermopolite : (P. Sorb. II 69) / Jean Gascou.,"Atlanta, Ga. : Scholars Press, c1994.",American studies in papyrology ;v. 32,Large Collection PA3315.H475 G38 1994 ,578248,,"<a href=""http://bobcat.library.nyu.edu/primo_library/libweb/action/display.do?ct=display&fn=search&doc=nyu_aleph000578248&vid=NYU&institution=NYU&tab=all&dym=true""target=""new"">View in Library Catalog</a>"
2016-10,20161015,https://pleiades.stoa.org/places/785970,"<a href=""https://pleiades.stoa.org/places/785970""target=""new"">https://pleiades.stoa.org/places/785970</a>",,,1,Site,Egypt,Deir al-Bahri (Tomb of Senneferi),"Apa Phoibammon, Mon. ","25.7315599999998,32.607084",The tomb of Pharaoh's Chancellor Senneferi at Thebes (TT99) / edited by Nigel Strudwick ; with contributions by Helen Strudwick [and seven others] ; and appendices by Julie Dawson and Bridget Leach.,,,Large Collection DT73.D45 T65 2016 v.1,4498745,,"<a href=""http://bobcat.library.nyu.edu/primo_library/libweb/action/display.do?ct=display&fn=search&doc=nyu_aleph004498745&vid=NYU&institution=NYU&tab=all&dym=true""target=""new"">View in Library Catalog</a>"
2016-10,20161015,https://pleiades.stoa.org/places/863780,"<a href=""https://pleiades.stoa.org/places/863780""target=""new"">https://pleiades.stoa.org/places/863780</a>",,,2,City,Armenia,Dvin,Doubios,"40.01185995,44.58079045",Drevneĭshie pami͡atniki Dvina / K. Kh. Kushnareva. // Дрeвнейшие памятники Двина / K.Х. Kушнарева.,"Erevan : Izd-vo AN Armi͡anskoĭ SSR, 1977.",,Large Collection DK689.5.D84 K85 1977 ,4486712,,"<a href=""http://bobcat.library.nyu.edu/primo_library/libweb/action/display.do?ct=display&fn=search&doc=nyu_aleph004486712&vid=NYU&institution=NYU&tab=all&dym=true""target=""new"">View in Library Catalog</a>"
2016-10,20161015,https://pleiades.stoa.org/places/874304,"<a href=""https://pleiades.stoa.org/places/874304""target=""new"">https://pleiades.stoa.org/places/874304</a>",,,1,Site,Turkey,Akhdamar Island - Cathedral of the Holy Cross,,"38.3403,43.0369",Die Kirche von Achtamar; Bauplastik im Leben des Lichtes [von] M.S. Ipʼsiroğlu.,Berlin und Mainz : F. Kupferberg [1963],,Small Collection NA5871.A45 I6 1963 ,2069912,,"<a href=""http://bobcat.library.nyu.edu/primo_library/libweb/action/display.do?ct=display&fn=search&doc=nyu_aleph002069912&vid=NYU&institution=NYU&tab=all&dym=true""target=""new"">View in Library Catalog</a>"
